,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
0,Ab ī-Al-Munà,Mr Nās īf Qāsim,26,Cherbourg,S
1,Abbing,Mr Anthony,42,Southampton,†
2,Abbott,Mr Eugene Joseph,14,Southampton,†
3,Abbott,Mr Rossmore Edward,16,Southampton,†
4,Abbott,Mrs Rhoda Mary “Rosa”,39,Southampton,S
5,Abelseth,Miss Karen Marie,16,Southampton,S
6,Abelseth,Mr Olaus Jørgensen,25,Southampton,S
7,Abelson,Mr Samuel,30,Cherbourg,†
8,Abelson,Mrs Hannah,28,Cherbourg,S
9,Abrahamsson,Mr Abraham August Johannes,20,Southampton,S
10,Adams,Mr John,26,Southampton,†
11,Ahlin,Mrs Johanna Persdotter,40,Southampton,†
12,Aks,Master Frank Philip,10m,Southampton,S
13,Aks,Mrs Leah,18,Southampton,S
14,Al-Munà,Mr Far īd Husayn Qāsim,18,Cherbourg,†
15,Aldworth,Mr Augustus Henry,34,Southampton,†
16,Alexander,Mr William Albert,23,Southampton,†
17,Alhomäki,Mr Ilmari Rudolf,19,Southampton,†
18,Ali,Mr Ahmed,24,Southampton,†
19,Ali,Mr William,25,Southampton,†
20,Allen,Miss Elisabeth Walton,29,Southampton,S
21,Allen,Mr William Henry,38,Southampton,†
22,Allison,Master Hudson Trevor,11m,Southampton,S
23,Allison,Miss Helen Loraine,2,Southampton,†
24,Allison,Mr Hudson Joshua Creighton,30,Southampton,†
25,Allison,Mrs Bessie Waldo,25,Southampton,†
26,Allum,Mr Owen George,15,Southampton,†
27,Andersen,Mr Albert Karvin,33,Southampton,†
28,Andersen-Jensen,Miss Carla Christine Nielsine,19,Southampton,S
29,Anderson,Mr Harry,47,Southampton,S
30,Andersson,Master Sigvard Harald Elias,4,Southampton,†
31,Andersson,Miss Ebba Iris Alfrida,6,Southampton,†
32,Andersson,Miss Ellis Anna Maria,2,Southampton,†
33,Andersson,Miss Erna Alexandra,17,Southampton,S
34,Andersson,Miss Ida Augusta Margareta,38,Southampton,†
35,Andersson,Miss Ingeborg Constanzia,9,Southampton,†
36,Andersson,Miss Sigrid Elisabeth,11,Southampton,†
37,Andersson,Mr Anders Johan,39,Southampton,†
38,Andersson,Mr Johan Samuel,26,Southampton,†
39,Andersson,Mrs Alfrida Konstantia Brogren,39,Southampton,†
40,Andreasson,Mr Pål Edvin,20,Southampton,†
41,Andrew,Mr Edgar Samuel,17,Southampton,†
42,Andrew,Mr Frank Thomas,25,Southampton,†
43,Andrews,Miss Kornelia Theodosia,62,Cherbourg,S
44,Andrews,Mr Thomas,39,Belfast,†
45,Angheloff,Mr Minko,26,Southampton,†
46,Angle,Mr William,32,Southampton,†
47,Angle,Mrs Florence Agnes,36,Southampton,S
48,Appleton,Mrs Charlotte,53,Southampton,S
49,Arnold-Franchi,Mr Josef,25,Southampton,†
50,Arnold-Franchi,Mrs Josefine,18,Southampton,†
51,Aronsson,Mr Ernst Axel Algot,24,Southampton,†
52,Artagaveytia,Mr Ramon,71,Cherbourg,†
53,Ashby,Mr John,57,Southampton,†
54,Asim,Mr Adola,35,Southampton,†
55,Asplund,Master Carl Edgar,5,Southampton,†
56,Asplund,Master Clarence Gustaf Hugo,9,Southampton,†
57,Asplund,Master Edvin Rojj Felix,3,Southampton,S
58,Asplund,Master Filip Oscar,13,Southampton,†
59,Asplund,Miss Lillian Gertrud,5,Southampton,S
60,Asplund,Mr Carl Oscar Vilhelm Gustafsson,40,Southampton,†
61,Asplund,Mr Johan Charles,23,Southampton,S
62,Asplund,Mrs Selma Augusta Emilia,38,Southampton,S
63,Assaf,Mrs Mariana,45,Cherbourg,S
64,Assam,Mr Ali,23,Southampton,†
65,Astor,Colonel John Jacob,47,Cherbourg,†
66,Astor,Mrs Madeleine Talmage,18,Cherbourg,S
67,Attala,Mr Sleiman,27,Cherbourg,†
68,Attalah,Miss Malake,17,Cherbourg,†
69,Aubart,Mme. Léontine Pauline “Ninette”,24,Cherbourg,S
70,Augustsson,Mr Albert,23,Southampton,†
71,Ayoub Daher,Miss Banoura,15,Cherbourg,S
72,Backström,Mr Karl Alfred,32,Southampton,†
73,Backström,Mrs Maria Mathilda,33,Southampton,†
74,Baclini,Miss Eugenie,3,Cherbourg,S
75,Baclini,Miss Helene Barbara,9m,Cherbourg,S
76,Baclini,Miss Marie Catherine,5,Cherbourg,S
77,Baclini,Mrs Latifa,24,Cherbourg,S
78,Badman,Miss Emily Louisa,18,Southampton,S
79,Badt,Mr Mohamed,40,Cherbourg,†
80,Bailey,Mr Percy,15,Southampton,†
81,Baimbrigge,Mr Charles Robert,22,Southampton,†
82,Balkic,Mr Cerin,26,Southampton,†
83,Balls,Mrs Ada E.,36,Southampton,S
84,Banfield,Mr Frederick James,28,Southampton,†
85,Banski,Mrs Mara,31,Southampton,†
86,Barbara,Miss Saiide,18,Cherbourg,†
87,Barbara,Mrs Catherine David,45,Cherbourg,†
88,Barber,Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish),26,Southampton,S
89,Barkworth,Mr Algernon Henry,47,Southampton,S
90,Barry,Miss Julia,26,Queenstown,†
91,Barton,Mr David John,22,Southampton,†
92,Bassani,Mrs Albina (Maid to Mrs William Robert Bucknell),32,Cherbourg,S
93,Bateman,Reverend Robert James,51,Southampton,†
94,Batoshev,Mr Hristo Lalev,23,Southampton,†
95,Baumann,Mr John D.,60,Cherbourg,†
96,Baxter,Mr Quigg Edmond,24,Cherbourg,†
97,Baxter,Mrs Hélène,50,Cherbourg,S
98,Beane,Mr Edward,32,Southampton,S
99,Beane,Mrs Ethel,22,Southampton,S
100,Beattie,Mr Thomson,36,Southampton,†
101,Beauchamp,Mr Henry James,28,Southampton,†
102,Beavan,Mr William Thomas,20,Southampton,†
103,Becker,Master Richard F.,1,Southampton,S
104,Becker,Miss Marion Louise,4,Southampton,S
105,Becker,Miss Ruth Elizabeth,12,Southampton,S
106,Becker,Mrs Nellie E.,35,Southampton,S
107,Beckwith,Mr Richard Leonard,37,Southampton,S
108,Beckwith,Mrs Sallie,46,Southampton,S
109,Beesley,Mr Lawrence,34,Southampton,S
110,Behr,Mr Karl Howell,26,Cherbourg,S
111,Bengtsson,Mr Johan Viktor,26,Southampton,†
112,Bentham,Miss Lillian W.,19,Southampton,S
113,Berglund,Mr Karl Ivar Sven,22,Southampton,†
114,Berriman,Mr William John,23,Southampton,†
115,Bessette,Miss Nellie Mayo (Maid to Mrs Ella Holmes White),39,Cherbourg,S
116,Bidois,Miss Rosalie (Maid to Mrs John Jacob Astor),46,Cherbourg,S
117,Bing,Mr Lee,32,Southampton,S
118,Bird,Miss Ellen (Maid to Mr & Mrs Isodor Straus),31,Southampton,S
119,Birkeland,Mr Hans Martin Monsen,21,Southampton,†
120,Birnbaum,Mr Jakob,24,Cherbourg,†
121,Bishop,Mr Dickinson H.,25,Cherbourg,S
122,Bishop,Mrs Helen,19,Cherbourg,S
123,Björklund,Mr Ernst Herbert,18,Southampton,†
124,Björnström-Steffansson,Mr Mauritz Hokan,28,Southampton,S
125,Blackwell,Mr Stephen Weart,45,Southampton,†
126,Blank,Mr Henry,39,Cherbourg,S
127,Bonnell,Miss Caroline,30,Southampton,S
128,Bonnell,Miss Elizabeth,61,Southampton,S
129,Borebank,Mr John James,42,Southampton,†
130,Bostandyeff,Mr Guentcho,26,Southampton,†
131,Botsford,Mr William Hull,25,Southampton,†
132,Bourke,Miss Mary,40,Queenstown,†
133,Bourke,Mr John,42,Queenstown,†
134,Bourke,Mrs Catherine,32,Queenstown,†
135,Bowen,Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson),45,Cherbourg,S
136,Bowen,Mr David John “Dai”,26,Southampton,†
137,Bowenur,Mr Solomon,42,Southampton,†
138,Bowerman,Miss Elsie Edith,22,Southampton,S
139,Bracken,Mr James Hollen,29,Southampton,†
140,Bradley,Miss Bridget Delia,22,Queenstown,S
141,Brady,Mr John Bertram,41,Southampton,†
142,Braf,Miss Elin Ester Maria,20,Southampton,†
143,Brailey,Mr William Theodore Ronald,24,Southampton,†
144,Brandeis,Mr Emil Franklin,48,Cherbourg,†
145,Braund,Mr Lewis Richard,29,Southampton,†
146,Braund,Mr Owen Harris,22,Southampton,†
147,Brereton,Mr George Andrew,37,Southampton,S
148,Brewe,Dr Arthur Jackson,45,Cherbourg,†
149,Bricoux,Mr Roger Marie,20,Southampton,†
150,Brito,Mr José Joaquim de,32,Southampton,†
151,Brobäck,Mr Karl Rudolf,22,Southampton,†
152,Brocklebank,Mr William Alfred,35,Southampton,†
153,Brown,Miss Amelia Mary,18,Southampton,S
154,Brown,Miss Edith Eileen,15,Southampton,S
155,Brown,Mr Thomas William Solomon,60,Southampton,†
156,Brown,Mrs Caroline Lane,59,Southampton,S
157,Brown,Mrs Elizabeth Catherine,40,Southampton,S
158,Brown,Mrs Margaret “Molly”,44,Cherbourg,S
159,Bryhl,Miss Dagmar Jenny Ingeborg,20,Southampton,S
160,Bryhl,Mr Kurt Arnold Gottfrid,25,Southampton,†
161,Buckley,Miss Katherine,22,Queenstown,†
162,Buckley,Mr Daniel,21,Queenstown,S
163,Bucknell,Mrs Emma Eliza,58,Cherbourg,S
164,Burke,Mr Jeremiah,19,Queenstown,†
165,Burns,Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden),41,Cherbourg,S
166,Burns,Miss Mary Delia,17,Queenstown,†
167,Buss,Miss Kate,36,Southampton,S
168,Butler,Mr Reginald Fenton,25,Southampton,†
169,Butrus-Ka’W ī,Mr Tannūs,21,Cherbourg,†
170,Butt,Major Archibald Willingham,46,Southampton,†
171,Byles,Father Thomas Roussel Davids,42,Southampton,†
172,Byström,Mrs Karolina,40,Southampton,†
173,Būlus,Master Akar,9,Cherbourg,†
174,Būlus,Miss Nūr-al-Ayn,7,Cherbourg,†
175,Būlus,Mrs Sultānah,40,Cherbourg,†
176,Cacic,Miss Manda,21,Southampton,†
177,Cacic,Miss Marija,30,Southampton,†
178,Cacic,Mr Jego Grga,18,Southampton,†
179,Cacic,Mr Luka,38,Southampton,†
180,Cairns,Mr Alexander Milne (Manservant to Mr William Ernest Carter),28,Southampton,†
181,Calderhead,Mr Edward Pennington,42,Southampton,S
182,Caldwell,Master Alden Gates,10m,Southampton,S
183,Caldwell,Mr Albert Francis,26,Southampton,S
184,Caldwell,Mrs Sylvia Mae,28,Southampton,S
185,Calic,Mr Jovo,17,Southampton,†
186,Calic,Mr Petar,17,Southampton,†
187,Cameron,Miss Clear Annie,35,Southampton,S
188,Campbell,Mr William Henry,21,Belfast,†
189,Canavan,Miss Mary,22,Queenstown,†
190,Canavan,Mr Patrick,21,Queenstown,†
191,Candee,Mrs Helen Churchill,52,Cherbourg,S
192,Cann,Mr Ernest,21,Southampton,†
193,Caram,Mr Joseph,28,Cherbourg,†
194,Caram,Mrs Maria Elias,18,Cherbourg,†
195,Carbines,Mr William,19,Southampton,†
196,Cardeza,Mr Thomas Drake Martinez,36,Cherbourg,S
197,Cardeza,Mrs Charlotte Wardle,58,Cherbourg,S
198,Carlsson,Mr August Sigfrid,28,Southampton,†
199,Carlsson,Mr Carl Robert,24,Southampton,†
200,Carlsson,Mr Frans Olof,33,Southampton,†
201,Carr,Miss Jane,45,Queenstown,†
202,Carrau,Mr Francisco Mauro Severiano,27,Southampton,†
203,Carraú-Esteves,Mr José Pedro,17,Southampton,†
204,Carter,Father Ernest Courtenay,54,Southampton,†
205,Carter,Master William Thornton II,11,Southampton,S
206,Carter,Miss Lucile Polk,13,Southampton,S
207,Carter,Mr William Ernest,36,Southampton,S
208,Carter,Mrs Lilian,45,Southampton,†
209,Carter,Mrs Lucile,36,Southampton,S
210,Carver,Mr Alfred John,28,Southampton,†
211,Case,Mr Howard Brown,49,Southampton,†
212,Cassebeer,Mrs Eleanor Genevieve,36,Cherbourg,S
213,Cavendish,Mr Tyrell William,36,Southampton,†
214,Cavendish,Mrs Julia Florence,25,Southampton,S
215,Celotti,Mr Francesco,24,Southampton,†
216,Chaffee,Mr Herbert Fuller,46,Southampton,†
217,Chaffee,Mrs Carrie Constance,47,Southampton,S
218,Chambers,Mr Norman Campbell,27,Southampton,S
219,Chambers,Mrs Bertha,32,Southampton,S
220,Chapman,Mr Charles Henry,52,Southampton,†
221,Chapman,Mr John Henry,36,Southampton,†
222,Chapman,Mrs Sara Elizabeth,28,Southampton,†
223,Charters,Mr David,20,Queenstown,†
224,Chaudanson,Miss Victorine (Maid to Mrs Emily Ryerson),36,Cherbourg,S
225,Cherry,Miss Gladys,30,Southampton,S
226,Chevré,Mr Paul Romaine Marie Léonce,45,Cherbourg,S
227,Chibnall,Mrs Edith Martha Bowerman,48,Southampton,S
228,Chip,Mr Chang,32,Southampton,S
229,Chisholm,Mr Roderick Robert Crispin,43,Belfast,†
230,Christmann,Mr Emil,29,Southampton,†
231,Christy,Miss Rachel Juli Cohen,25,Southampton,S
232,Christy,Mrs Alice Frances,45,Southampton,S
233,Chronopoulos,Mr Apostolos M.,26,Cherbourg,†
234,Chronopoulos,Mr Dimitrios M.,21,Cherbourg,†
235,Clark,Mr Walter Miller,27,Cherbourg,†
236,Clark,Mrs Virginia Estelle,26,Cherbourg,S
237,Clarke,Mr Charles Valentine,29,Southampton,†
238,Clarke,Mr John Frederick Preston,28,Southampton,†
239,Clarke,Mrs Ada Maria,28,Southampton,S
240,Cleaver,Miss Alice Catherine (Nanny to Master Hudson Trevor Allison),22,Southampton,S
241,Clifford,Mr George Quincy,40,Southampton,†
242,Coelho,Mr Domingos Fernandeo,20,Southampton,†
243,Cohen,Mr Gurshon,18,Southampton,S
244,Colbert,Mr Patrick,24,Queenstown,†
245,Coleff,Mr Satio,24,Southampton,†
246,Coleridge,Mr Reginald Charles,29,Southampton,†
247,Collander,Mr Erik Gustaf,27,Southampton,†
248,Collett,Mr Sidney Clarence Stuart,25,Southampton,S
249,Colley,Mr Edward Pomeroy,37,Southampton,†
250,Collyer,Miss Marjorie Lottie,8,Southampton,S
251,Collyer,Mr Harvey,31,Southampton,†
252,Collyer,Mrs Charlotte Caroline,31,Southampton,S
253,Coltcheff,Mr Peju,36,Southampton,†
254,Compton,Miss Sara Rebecca,39,Cherbourg,S
255,Compton,Mr Alexander Taylor Jr,37,Cherbourg,†
256,Compton,Mrs Mary Eliza,64,Cherbourg,S
257,Conlin,Mr Thomas Henry,31,Queenstown,†
258,Connaughton,Mr Michael,40,Queenstown,†
259,Connolly,Miss Catherine,23,Queenstown,S
260,Connolly,Miss Kate,41,Queenstown,†
261,Connors,Mr Patrick,66,Queenstown,†
262,Cook,Mr Jacob,43,Southampton,†
263,Cook,Mrs Selena,22,Southampton,S
264,Cor,Mr Bartol,35,Southampton,†
265,Cor,Mr Ivan,27,Southampton,†
266,Cor,Mr Liudevit,19,Southampton,†
267,Corbett,Mrs Irene,30,Southampton,†
268,Corey,Mrs Mary Emma,30,Southampton,†
269,Cornblatt,Mr Harris,30,Southampton,†
270,Cornell,Mrs Malvina Helen,55,Southampton,S
271,Corr,Miss Ellen,16,Queenstown,S
272,Cotterill,Mr Henry,20,Southampton,†
273,Coutts,Master Neville Leslie,3,Southampton,S
274,Coutts,Master William Loch,9,Southampton,S
275,Coutts,Mrs Winnie,36,Southampton,S
276,Coxon,Mr Daniel,59,Southampton,†
277,Crafton,Mr John Bertram,59,Southampton,†
278,Crease,Mr Ernest James,19,Southampton,†
279,Cribb,Miss Laura Mae,16,Southampton,S
280,Cribb,Mr John Hatfield,44,Southampton,†
281,Crosby,Captain Edward Gifford,70,Southampton,†
282,Crosby,Miss Harriette Rebecca,39,Southampton,S
