,index_x,PassengerId,Survived,Pclass,Name,Sex,Age_x,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Surname_x,Firstname,Othernames,KaggleAge,index_y,Surname_y,First Names,Age_y,Boarded,Survivor (S) or Victim (†),AgeDiff
0,1245,1246,,3,DeanMiss Elizabeth Gladys “Millvina”,female,0.17,1,2,C.A. 2315,20.575,,S,Miss,Dean,Elizabeth,Gladys,0.17,319.0,Dean,Miss Elizabeth Gladys “Millvina”,0.16666666666666666,Southampton,S,0.003333333333333355
1,1092,1093,,3,DanbomMaster Gilbert Sigvard Emanuel,male,0.33,0,2,347080,14.4,,S,Master,Danbom,Gilbert,Sigvard,0.33,295.0,Danbom,Master Gilbert Sigvard Emanuel,0.3333333333333333,Southampton,†,-0.0033333333333332993
2,803,804,1.0,3,No name match,male,0.42,0,1,2625,8.5167,,C,Master,Thomas,Assad,,0.42,,,,,,,
3,755,756,1.0,2,HämäläinenMaster Viljo Unto Johannes,male,0.67,1,1,250649,14.5,,S,Master,Hamalainen,Viljo,,0.67,575.0,Hämäläinen,Master Viljo Unto Johannes,0.5833333333333334,Southampton,S,0.08666666666666667
4,644,645,1.0,3,BacliniMiss Eugenie,female,0.75,2,1,2666,19.2583,,C,Miss,Baclini,Eugenie,,0.75,74.0,Baclini,Miss Eugenie,3.0,Cherbourg,S,-2.25
5,469,470,1.0,3,BacliniMiss Helene Barbara,female,0.75,2,1,2666,19.2583,,C,Miss,Baclini,Helene,,0.75,75.0,Baclini,Miss Helene Barbara,0.75,Cherbourg,S,0.0
6,1172,1173,,3,PeacockMaster Albert Edward,male,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S,Master,Peacock,Alfred,,0.75,937.0,Peacock,Master Albert Edward,0.5833333333333334,Southampton,†,0.16666666666666663
7,1198,1199,,3,AksMaster Frank Philip,male,0.83,0,1,392091,9.35,,S,Master,Aks,Philip,,0.83,12.0,Aks,Master Frank Philip,0.8333333333333334,Southampton,S,-0.0033333333333334103
8,78,79,1.0,2,CaldwellMaster Alden Gates,male,0.83,0,2,248738,29.0,,S,Master,Caldwell,Alden,,0.83,182.0,Caldwell,Master Alden Gates,0.8333333333333334,Southampton,S,-0.0033333333333334103
9,831,832,1.0,2,RichardsMaster Sibley George,male,0.83,1,1,29106,18.75,,S,Master,Richards,George,,0.83,1007.0,Richards,Master Sibley George,0.75,Southampton,S,0.07999999999999996
10,305,306,1.0,1,AllisonMaster Hudson Trevor,male,0.92,1,2,113781,151.55,C22 C26,S,Master,Allison,Hudson,,0.92,22.0,Allison,Master Hudson Trevor,0.9166666666666666,Southampton,S,0.0033333333333334103
11,1141,1142,,2,WestMiss Barbara Joyce,female,0.92,1,2,C.A. 34651,27.75,,S,Miss,West,Barbara,,0.92,1263.0,West,Miss Barbara Joyce,0.8333333333333334,Southampton,S,0.08666666666666667
12,183,184,1.0,2,BeckerMaster Richard F.,male,1.0,2,1,230136,39.0,F4,S,Master,Becker,Richard,,1.0,103.0,Becker,Master Richard F.,1.0,Southampton,S,0.0
13,788,789,1.0,3,DeanMaster Bertram Vere,male,1.0,1,2,C.A. 2315,20.575,,S,Master,Dean,Bertram,,1.0,318.0,Dean,Master Bertram Vere,1.0,Southampton,S,0.0
14,386,387,0.0,3,GoodwinMaster Sidney Leslie,male,1.0,5,2,CA 2144,46.9,,S,Master,Goodwin,Sidney,,1.0,461.0,Goodwin,Master Sidney Leslie,1.0,Southampton,†,0.0
15,172,173,1.0,3,JohnsonMiss Eleanor Ileen,female,1.0,1,1,347742,11.1333,,S,Miss,Johnson,Eleanor,,1.0,612.0,Johnson,Miss Eleanor Ileen,1.0,Southampton,S,0.0
16,1154,1155,,3,KlasénMiss Gertrud Emilia,female,1.0,1,1,350405,12.1833,,S,Miss,Klasen,Gertrud,,1.0,670.0,Klasén,Miss Gertrud Emilia,1.0,Southampton,†,0.0
17,1187,1188,,2,LarocheMiss Louise,female,1.0,1,2,SC/Paris 2123,41.5792,,C,Miss,Laroche,Louise,,1.0,690.0,Laroche,Miss Louise,1.0,Cherbourg,S,0.0
18,827,828,1.0,2,MalletMaster André Clement,male,1.0,0,2,S.C./PARIS 2079,37.0042,,C,Master,Mallet,Andre,,1.0,755.0,Mallet,Master André Clement,1.0,Cherbourg,S,0.0
19,381,382,1.0,3,NakidMiss Maria,female,1.0,0,2,2653,15.7417,,C,Miss,Nakid,"""Mary"")",,1.0,855.0,Nakid,Miss Maria,1.0,Cherbourg,S,0.0
20,164,165,0.0,3,PanulaMaster Eino Viljam,male,1.0,4,1,3101295,39.6875,,S,Master,Panula,Eino,,1.0,922.0,Panula,Master Eino Viljam,1.0,Southampton,†,0.0
21,1008,1009,,3,SandströmMiss Beatrice Irene,female,1.0,1,1,PP 9549,16.7,G6,S,Miss,Sandstrom,Beatrice,,1.0,1071.0,Sandström,Miss Beatrice Irene,1.0,Southampton,S,0.0
